Ramses II,ရမ်စိစ်သည်တူး,
UPS,ယူပီအက်စ်,
Lowell Nussbaum Society,လိုဝဲလ်နပ်စ်ဘောင်မ် အဖွဲ့အစည်း,
FOREVER PLAID,ဖော်အဲဗားပလဲ့က်ဒ်,
Virginia,ဗာဂျီးနီးယား,
dents,အပွန်းအပဲ့,
dystopian,ဒစ်စတိုပီယံ,
tax credit,အခွန်ခရက်ဒစ်,
Muhammed,မိုဟာမတ်,
July,ဇူလိုင်,
Jesus,ယေရှု,
Kinsman,ဆွေမျိုးနီးစပ်,
Parque de Palapas,ပါရတ်ကတ်ဒီပလပတ်စ်,
Bridgetown,ဘရစ်ချ်တောင်း,
Perak Tong,ပဲရက်တွန်း,
Beijing,ပေကျင်း,
New Brunswick,နယူးဘန်းစ်ဝှစ်က်,
Payangan,ပရန်ဂန်,
Batur,ဘတ်တိုရှ်,
San Francisco,ဆန်ဖရန်စစ္စကို,
Golden Mile,ဂိုးလ်ဒန်း မိုင်,
Bahamian,ဘဟေးမီးယား,
Ming Tombs,မင် ဂူဗိမာန်,
Andrea Doria,အမ်းဒရူး ဒိုရီယာ,
Kublai Khan,ကူဗလိုင်ခန် ,
Metaxas,မက်တာဆက်,
Montserrat,မောင့်ဆဲရတ်,
Sailor's House,စေးလားဟောက်စ်,
Kinabalu,ကီနာဘာလု,
Glasgow Lakes,ဂလပ်စဂိုး ရေကန်,
John Deer Lake,ဂျွန် ဒီးယား ရေကန်,
Napoleon,နပိုလီယံ,
Puerto Rican,ပွာတို ရီကန် ,
Carribean,ကာရေဘီယံ,
Treasure Beach,ထရေးရှား ကမ်းခြေ,
Nevada Fall,နီဗားဒါး ရေတံခွန်,
Montesserant,မောင့်ဆရပ်,
Rejan,ရဂျန်,
Megaron,မာဂရွန်,
Mercat de la Cantaloupe,မာကတ်ဒီလကန်တယ်လုပ်,
Lagun Nichupte,လဂန်းနီချောက်ပ်,
Arabella,အာရာဘဲလာ,
Wolverstone,ဝူဗာစတုန်း,
Captain,ကပ္ပတိန်,
Calverly,ကယ်လ်ဗာလေ,
Cleverly,ကယ်လ်ဗာလေ,
frigate,ဖရီးဂိတ်သင်္ဘော,
Batman,ဘတ်မန်း,
Port Royal,ပေါ့ ရိုင်ရယ်,
Canada,ကနေဒါ,
Egyptian,အီဂျစ်,
Taiwan,ထိုင်ဝမ်,
Na Pali Coast,ငပလီ ကမ်းခြေ,
Seven Gables,ဆဲဗင်း ဂလ်စ်,
Italian,အီတလီ,
Milreu,မေးလ်ရု ,
Greece,ဂရိ,
Sant Pau,ဆန့်ပေါ,
Common Market,ကွန်မွန်း မားကတ်,
Megaro Mousikis Metro,မီဂရို မောက်စီကစ် မီထရို,
Olympieion,အိုလံပီယွန်,
Poble Espanyol,ပိုဘဲလ် အက်စ်ပန်ညော်,
Singel,ဆင်ဂဲလ်,
Dora Stratou Folk Dance,ဒိုရာ စတရာတု ဖော့ခ် ဒန့်,
Philopappos,ဖီလိုပတ်ပိုစ့်,
Baroque,ဘာရိုကျူ့,
Scafell Pike,စကဖဲလ် ပိုက်ခ်,
Bona,ဘိုနာ,
kecak,ကီးကပ်,
jazz clubs,ဂျက်ဇ် ကလပ်,
Los Angeles,လော့စ် အိန်ဂျလိစ်,
Karl-Marx-Allee,ကာလ်-မာစ်-အယ်လီး,
Nafplio,နာဖလီယို,
Puerto Rico,ပွာတို ရီကို,
St. Thomas,စိန့် သော်မတ်စ်,
Umeda,ယူမီဒါ,
Brahma,ဗြဟ္မာ,
Saguenay River,စောက်ဂူနေ မြစ်,
The 1896 Neo-Gothic Calvinist Church,၁၈၉၆ နီယို-ဂေါ့သစ် ကယ်လ်ဗီနစ် ဘုရားကျောင်း,
Balza,ဘလ်ဇာ,
Delacroix,ဒဲလာခရိုစ်,
Spartans,စပါတာများ,
Thermopylae,သာမောပလီး,
Otto Frank,အော်တိုဖရန့်,
Nazis,နာဇီ,
Weltkugelbrunnen,ဝက်ခ်ခရူးဂျဲဘန်းနန်း,
Sqamish,စကွေးမစ်ရှ်,
Loyal Senate,ရွိုင်ရယ် ဆီးနိတ် ,
Coniera,ကိုနီရာ,
Sant Antoni Bay,ဆန့် အန်တိုနီ ပင်လယ်အော်,
Jerusalem,ဂျေရုဆလင်,
Hawthorne,ဟောသရုန်း,
Main,မိန်း,
Pinckney,ပင့်ခ်နေ,
La'al Ratty,လာရယ် ရက်တီ,
One Vegas,ဝမ်း ဗီးဂတ်စ် ,
Boston,ဘော်စတွန်,
James Cook,ဂျိမ်းစ် ကွတ်,
Hawaii,ဟာဝိုင်အီ,
California,ကယ်လီဖိုးနီးယား,
Batu Hitam,ဘတူး ဟီတန် ,
Moors ,မောလ်,
Almohads,အယ်မိုဟာဒ်,
Kuala Perlis,ကွာလာပါလစ်,
Kangar,ကန်ဂါး,
Noske,နိုစ်ကီ,
Bali,ဘာလီ,
British,ဗြိတိန်,
macedonia,မက်ဆီဒိုးနီးယား,
Carrer dels Banys Nous,ကာရာ ဒဲလ် ဘန်းန် နှောက်စ်,
Albuferia,အလ်ဗူးဖီးရီးယား,
Whitehorse,ဝှိုက်ဟော့စ်,
Errol Flynn,အယ်ရို ဖလင်း,
Computer City,ကွန်ပျူတာ စီးတီး,
Star House,စတား ဟောက်စ်,
Cala Mondrage,ကာလာ မွန်ဒရေချ်,
Pierre,ပီယား,
McKim Mead,မက်ကင် မဒ်,
pachuco,ပါချူကို,
Relajo,ရီလေးဂျို,
New Mexico,နယူး မက္ကဆီကို,
moradas,မိုရာဒါများ,
Wallis,ဝဲလစ်,
Varjabedian,ဗာဂျဗီးဒီးယမ်း,
Linda Katz,လင်ဒါ ကတ်ဇ်,
CEO,စီအီးအို,
Hominids,ဟိုမီနီဒ်,
Barbados,ဘာဘေးဒိုးစ်,
Royal Mary,ရွိုင်ရယ် မယ်ရီ,
Blue Teacup,ဘလူး တီးကပ်,
St. James's,စိန့် ဂျိမ်းစ်,
Mary Traill,မယ်ရီ ထရေး,
Madrid,မဒရစ်,
The Maritime Museum,ပင်လယ်ရေကြောင်းပြတိုက်,
Francis of Assisi,ဖရန်စစ်အော့ဖ်အက်စီစိ,
Laleli,လလေ့လိုင်,
Isidoro Macabich,အစ်စီဒိုရိုမိုကဘစ်ချ်,
Liao,လျောင်,
Fayuan Temple,ဖားယွမ်ဘုရားကျောင်း,
Caldas de Monchique,ကလ်ဒတ်စ်ဒီမွန်ကီးခ်,
Barbizon,ဘာဘီဇွန်,
Gorges d'Apreamont,ဂေါ့ဂျပ်စ် ဒီအပရီမော့န်,
Caribbean,ကာရေဘီယံ,
Puerto rico,ပွာတိုရီကို,
Siefok,ဆီးဖော့ခ်,
Quetico,ကွီတီကို,
Chaac-Mool,‌ချေ့စ်-မိုလ်,
Alaior,အလိုင်ရာ,
James Wilson Marshall,ဂျိမ်းစ်ဝီလျှံမာရှဲလ်,
Kodaly Kerend,ကိုဒလေ ကရန်,
Gruyare,ဂရိရာတ်,
Peter C. Newman,ပီတာ စီ နယူးမန်,
Pierre Berton,ပိဖ်ရာ ဘာတွန်,
Jack Brooks,ဂျက်ဘရွတ်ခ်စ်,
The Economist,သည်အီကိုနိုးမစ်,
al Qaeda,အယ်ကိုင်ဒါ,
Treasury Secretary,ဘဏ္ဍာရေးအတွန်းဝန်,အတွင်းဝန်
libertarians,လစ်ဘရယ်သမား,
ivory-tower,,
log-rolling,သစ်လုံးလှိမ့်,
Somalia,ဆိုမာလီးယား,
Hazmi,ဟဇ်မိ,
L. Fusco,အယ်လ် ဖူးစ်ကို,
Pundits,ပဏ္ဍိတ,
The National Security Council,အမျိုးသားလုံခြုံရေးကောင်စီ,
Hanseatic Regional High Court,ဟန်ဇီအန်တစ်ဒေသဆိုင်ရာဗဟိုတရားရုံး,
offline,အော့ဖ်လိုင်း,
NYC,နယူယော့ခ်စီးတီး,
counter terrorism,အကြမ်းဖက်မှုတိုက်ဖျက်ရေး,
New Jersey,နယူးဂျာဇီ,
Miami,မိုင်ယာမီ,
The CIA cable,စီအိုင်အေ ကြေးနန်း,
bureaucracies,ဗျူရိုကရေစီများ,
Jamaica fleet,ဂျမေးကာ ရေတပ်,
United Nations,ကုလသမဂ္ဂ,
Predator,သားရဲ,
Junk yards,အမှိုက်သိမ်းနေရာ,
Pundits,ပဏ္ဍိတ,
fallback,မြုပ်ကွက်,
Charles Follen McKim,ချားလ်စ် ဖိုလမ် မက်ကင်,
John M. Carrare,ဂျွန် အမ် ကာရယ်ရာ,
Thomas Hastings,သောမတ်စ် ဟက်စ်တင်း,
H. H. Richardson,အိတ်ချ် အိတ်ချ် ရစ်ချဒ်ဆန်,
Sofias,ဆိုဖီယာ,
Anglo ,အန်ဂလို,
United States,အမေရိကန်ပြည်ထောင်စု,
Mexican Americans,မက္ကဆီကန် အမေရိကန်များ,
anglo Americans,အန်ဂလို အမေရိကန်များ,
Shannon,ရှနွန်,
Mandala,မန္တလာ,
Christmas Day,ခရစ္စမတ်နေ့,
Santa,ဆန်တာ,
O.K,အိုကေ,
Erale,အီရယ်,
Lipstadt,လစ်စတတ်,
Catarino Garza,ကတ်တာရီနို ဂါဇာ,
Texas Ranger,တက္ကဆက်ပြည်နယ်ကို ကာကွယ်ပေးသူ,
Gregorio Cortez,ဂရိဂိုရီယို ကော့တဇ်,
Juan Cortina,ဂျန် ကော်တီးနား,
New York Times,နယူးယောက်တိုင်းစ်,
hexamer,ဟက်ဆာမာ,
San Antonio,ဆန်အန်တိုနီယို,
Diego,ဒီယေဂို,
piata,ပီတာ,
Hispanos,ဟစ်စပန်နိုများ,
Juan Osito,ဂျန် အိုစီးတို,
Maxwell demon,မက်စ်ဝဲလ် ဒယ်မွန်,
Taney,တိန်နေ,
Mendelian,မန်ဒါလီးယန်း,
Cuba,ကျူးဘား,
C. P. Snow,စီ ပီ စနိုး,
Vincent Scully,ဗင်းဆင့် စကားလီ,
Biospheres,ဘိုင်အိုစပီးယား,
Charles F. Lewis,ချားလ်စ် အက်ဖ် လူးဝစ်,
Gehry,ဂဲရီ,
Adobe homes,ကျက်ရွှံနှင့်ဆောက်ထားသော,
Lego World,လီဂို ဝေါလ်,
Vance,ဗန်စီ,
Mies Van der Rohe,မိုးစ်လ် ဗန် ဒါ ရိုရီ,
Tugendhat House,တုဂျန်ဒ်ဟတ် အိမ်,
Joaquan,ဂျိုကွမ်,
Ramen,ရေးမန်,
Bios Group,ဘိုင်းစ်အုပ် အုပ်စု,
Jose Guadalupe Posada,ဂျိုဆေး ဂွဒါလုပဲ ပိုဆာဒါ,
barrida,ဘာရီဒါ,
limpia,လင်မ်ပိုင်းရား,
Anthony John Campos,အန်သိုနီ ဂျွန် ကမ်းပို့စ်,
transistors,ထရန်စစ္စတာများ,
AI,အေအိုင်,
Mr. Yamins,မစ္စတာ ယမင်း,
Espinosa,အက်စပီနိုဆာ,
Wittgenstein,ဝစ်ဒ်ဂန်စတန်,
Steve Harris,စတိဗ် ဟားရစ်,
Calabi-Yau,ကယ်လ်ဘီ-ယမ်း ,
Central America,စင်ထရယ် အမေရိက,
Chicano,ချီကန်နို,
photon,ဖိုတွန်,
Tootsie Roll Pop,တုဆယ် ရိုးလ် ပေါ့ ,
Convergent flow,ကွန်ဗားဂျန့် ဖလိုး,
mica flake,မီကာ ဖလတ်,
Sonja,စွန်ဂျ,
Darwin,ဒါဝင်,
nongravitational forces,နန်းဂရပ်ဗစ်ရှင်နယ် ဖိုစ့်,
Howard,ဟောင်းဝပ်,
Cauldwell,ကာ့ဒ်ဝဲလ်,
Chicanos,ချီကန်နိုများ,
vaqueros,ဗာကျူးရို,
Sonorans,ဆိုနိုရမ်,
Dennett,ဒင်းနက်,
Darwinian,ဒါဝင်နီယမ်,
Pavlovian,ပယ်လိုဗီယမ်,
Popperian,ပေါ်ပါရီယန်,
Gregorian,ဂရိဂိုးရီးယန်း,
Palomillas,ပဲလိုမီလာများ,
San Augustin Acolman,စန် အော်ဂတ်စတင်း အယ်ကိုမန်,
Teotihuacan,တဲတီဟက်ကမ်း,
Wonder Bread,ဝမ်းဒါး ပေါင်မုန့်,
Challenge Butter,ချဲလန့် ထောပတ်,
Curanderas,ကုရမ်ဒရက်စ်,
caida de mollera,ကဲဒါ ဒီ မိုလားရား,
La cancien rancheras,လာ ကမ်စီယမ် ရမ်ချမ်စ်,
simulation,ဆင်မြူလေးရှင်း,
Omnes,အွန်းနက်စ်,
Lincoln,လင်ကွန်း,
Hood's RCA,ဟုဒ် ၏ အာစီအေ,
Gropius's Pan Am,ဂရိုးပစ်၏ ပန် အမ်း,
La Delgadina,လာ ဒယ်ဂဒီးနား,
Vato,ဗာတို,
Bato,ဘာတို,
Meredith,မယ်ရီဒတ်,
Quad,ကွဒ်,
Boolean idealization,ဘိုလီယန် အိုင်ဒီယာလိုင်ဇေးရှင်း,
boiler,ဘွိုင်လာ,
CIO,စီအိုင်အို,
SAB,အက်စ်အေဘီ,
Centrelink,စင်ထရယ်လင့်ခ်,
South Carolina,တောင် ကာရိုလိုင်းနား,
SC,အက်စ်စီ,
SBA,အက်စ်ဘီအေ,
ELL,အီးအလ်အလ်,
Pok-Ta-Pok,ပေါ့-တ-ပေါ့,
Dam Square,ဒမ်း စကွဲယား,
Temple of Heaven Park,ဟဲဗန် ပါ့ခ် ဘုရားကျောင်း,
nickelodeons,နီကယ်လိုဒွန်များ,
Komische Oper,ကောမက်ရှ် အော်ပါ,
Miramar,မီရာမာ,
Harvard Square,ဟားဗတ် ရင်ပြင်,
Mayans,မားရန်စ်လူမျိုးများ,
Xlapak,အိက်စ်လားပတ်ခ်,
Barcino-Barcelona,ဘာစီနို-ဘာစီလိုနာ,
Vincent Van Gogh,ဗင်းဆင့် ဗန် ဂိုးလ်,
Flag Hill,ဖလတ် ဟေး,
Potter's Cay,ပေါ်တာ' ကေး,
Charlottetown,ချာလ်းလော့တ်တောင်း,
Amsterdam,အမ်စတာဒမ်,
Rocroi,ရော့ခ်ရို,
Acropolis,အခရောပိုးလစ်,
Parthenon,ပါသီနွန်,
LSC,အယ်လ်အက်စ်စီ,
BLM,ဘီအယ်လ်အမ်,
Principle IV,အခြေခံနိယာမ ၄,
Fortune 500,ဖော်ကျူး ၅၀၀,
ED,အီးဒီ,
GAO,ဂျီအေအို,
Zip Code,စာတိုက် ကုဒ် ,
CFO Act,စီအက်ဖ်အို အက်ဥပဒေ,
SCR,အက်စ်စီအာ,
GMRA,ဂျီအမ်အာအေ,
Harrisburg,ဟားရစ်စ်ဘချ်,
Lancaster,လန်ကတ်စတာ,
Reading,ရီးဒင်းမြို့,
Dissaving,ဒစ်ဆေဗင်,
Allenbrand,အလ်လန်ဘရန်း,
Drews,ဒရူး,
CCS,စီစီအက်စ်,
FGD,အက်ဖ်ဂျီဒီ,
GAGAS,ဂျီအေဂျီအေအက်စ်,
NHTSA,အန်အိတ်ချ်တီအက်စ်အေ,
CVR,စီဗီအာ,
Milne,မီလ်နီ,
Ralphs,ရက်ဖ်,
USPS,ယူအက်စ်ပီအက်စ်,
Baltimore County,ဘယ်တီမော ကောင်တီ,
C-R,စီ-အာ,
Partners for Justice,တရားမျှတမှုအတွက် မိတ်ဖက်များ,
ED,အီးဒီ,
U2,ယူတူး,
TB,တီဘီရောဂါ,
Brooklynn,ဘရွတ်ကလင်း,
Special Activities,အထူးလှုပ်ရှားမှုဌာန,
Evans,အီဗန်,
Atlanta,အတ္တလန်တာ,
Augusta,ဩဂတ်စတာ,
O2,အိုတူး,
Los Vegas,လော့စ်ဗီးဂတ်စ်,
Washington,ဝါရှင်တန်,
Mallard Creek,မာလဒ် ခရိခ်,
Charlotte,ချားလော့ကို,
Lutheran,လူသာရန်,
DC,ဒီစီ,
Africa,အာဖရိက,
Concord,ကွန်းကော့,
Joe,ဂျိုး,
Ogle,အို့ဂဲလ်,
Jamaica,ဂျမေကာ,
American,အမေရိကန်,
Pitt,ပစ်ဒ်,
Jeremey,ဂျယ်ရမီ,
Jeremy,ဂျယ်ရမီ,
Old Wolf,အိုး ဝု့ဖ်,
Wade,ဝိဒ်,
Smith,စမစ်,
Old Bear,အိုး ဘီးယား,
Peter,ပီတာ,
Adrian,အဒရိန်း,
rap,ရက်ပ်,
concrete,ကွန်ကရစ်,
Good Friday,သောကြာကြီးနေ့ ,
endpoints,အဆုံးမှတ်,
Anti-Defamation League,အသရေဖျက်မှုတိုက်ဖျက်ရေးအဖွဲ့ချုပ်,
Swedish,ဆွီဒင်,
Swede,ဆွီဒ်,
Buffalo,ဘဖ်ဖလို,
Chicago,ချီကာဂို,
Oaklawn,အုတ်ခ်လွမ်,
TV,တီဗွီ,
Coke,ကုခ်,
FedEx,ဖက်အိက်စ်,
bluegrass,ဘလူးဂရက်စ်,
jazz,ဂျက်ဇ်,
PJ O'Rourke,ပီ ဂျေ အို' ရော့ခ်,
VCR,ဗွီစီအာ,
Dances with Wolves,ဝံပုလွေများနှင့် ကခုန်ခြင်း,
Kevin Costner,ကီဗင် ကော့စ်နား,
lasagna,လာဆာဂါ,
Amarillo,အမ်မာရေးလို,
Abu Bara,အဘူ ဘာရာ,
PAPD,ပီအေပီဒီ,
ESU,အီးအက်စ်ယူ,
South Tower,ဆောက် တာဝါ,
North Tower,နော့တ် တာဝါ,
Pickard,ပစ်ကတ်,
Hozbollah,ဟစ်ဇဘိုလာ,
DCI,ဒီစီအိုင်,
Powell,ပိုဝဲလ်,
Rumsfeld,ရှက်ရှ်ဖက်ဒ်,
Chechnya,ချေချင်းညာ,
Clarke,ကလာ့ခ်,
FBI,အက်ဖ်ဘီအိုင်,
Phoenix,ဖီးနစ်,
Mzoudi,မက်ဇူးဒီ,
Morocco,မော်ရိုကို,
Ashcroft,အက်ရှ်ခရော့ဖ်,
Mihdhar,မေ့ဒ်ဟာ,
Hage,ဟေ့ချ်,
Shakur,ရှက်ကူရာ,
FDNY,အက်ဖ်ဒီအန်ဝိုင်,
Bin Ladin,ဘင်လာဒင်,
moussaoui,မွတ်ဆားရီ,
Motassadeq,မော့တတ်စ်စဒက်,
Shehhi,ရှန်းဟီ,
Ajaj,အယ်ဂျက်,
WTC,ဒဗလျူတီစီ,
Flight 93,ဖလိုက် ၉၃,
Rice,ရိုက်စ်,
Khallad,ခါလတ်,
Ed Ballinger,အက်ဒ် ဘဲလင်ဂျာ,
FDNY,အက်ဖ်ဒီအန်ဝိုင်,
Atta,အတ္တ,
Omari,အိုမာရီ,
Wail al Shehri,ဝေ အလ် ရှဲရီ,
Bandar al Hazmi,ဘန်ဒါ အလ် ဟဇ်မိ,
James Steinberg,ဂျိမ်း စတိုင်းဘတ်ဂျ်,
Clarke,ကလာ့ခ်,
TSA,တီအက်စ်အေ,
Bryan,ဘရိုင်ယန်,
Bart Simpson,ဘတ် ဆင်းပ်စွန်,
ASPCA,အေအက်စ်ပီစီအေ,
IUPUI,အိုင်ယူပီယူအိုင်,
Call Kathy Dannels,ကေသီ ဒန်းနဲလ်စ်,
The Walking Dead,သယ် ဝေါကင်း ဒတ်,
Indiana,အင်ဒီယားနား,
IRT,အိုင်အာတီ,
Civic,စီဗစ်,
JoAnn,ဂျိုအန်း,
Urban,အာဘင်,
Nussbaum,နက်စ်ဘန်း,
Ramona,ရာမိုနာ,
DOT,ဒီအိုတီ,